Username,Comment
@Deletedeletedelete,"братишка, спасибо за контент, ты лучший!"
@mariacristinaarezzi,Hello
@mariacristinaarezzi,Hello
@thomasgarayua4979,I was watching a swift tutorial on recursion and I woke up to this video
@LodeStarYT,Looking forward to part 2. This one was very interesting
@aimanshaacodes,same with python please!!
@julianbullmagic,Really looking forward to part two. This is a very effective teaching style for this subject.
@neilclay5835,Fascinating
@ashganmustafa9031,"Such a great course , I  am enjoying it  😊"
@ashganmustafa9031,"Such a great course , I  am enjoying it  😊"
@TuanTrinh-qx5vq,what vscode theme is this?
@pacoescriba470,"please,  could you left the code in some place? My code is apparently exactly as your code, but it doesn't run correctly."
@kelvinclark3474,you can change all the onmouse*** to onpointer*** to not set the ontouch*** events. THe onpointer**** registers the event for both mouse and touch.
@fahad_hassan_92,The Drawing App is easy to understand but how are we supposed to come up with stuff like that? 10 years of experience in computer science? lol
@fahad_hassan_92,"20:56 Can someone explain what he has done here? Why create a const draw with the curly brackets and what is draw.path? You can also just tell me the topic name if you don't want to explain here, I can do research on it myself then"
@kushagrakumar1282,"Hi, Could you please make a similar course in python?"
@sergiorome48,Ew not JavaScript
@ryouko2971,"Hey Dr.Radu, can you create a video on how you went about creating your own Chart component? That was an amazing moment when you went out of your way to create something like that and inspired me to build my tools like this. Any source or recommendations for learning this?"
@seriousinjaehun,"Jacob, I told you not to draw it like that."
@jeremyh9841,image generation ?
@shriniwas_patwardhan,Thanks!
@kingcoder31aug,"i want more videos like this where i can learn depper concepts of cnn , rnn like that . This video was great 🔥🔥"
@FOM_extras,omg it's Radu! yay!
@parsonsmarcus,"Just as a quick aside in the beginning part, if you set the content type to ""text/plain"" in the data string, you may run into issues when downloading file data because the browser thinks it should be a .txt file. If you instead set the content type to be ""application/json"", it will download just fine without a warning. Like so: ""data:application/json;charset=utf-8""

Chrome warned me on MacOS whenever I wanted to download this file with a .json extension that had a content type of text/plain."
@godlikemouse,"Hi Radu, I just finished the first part of the course.  Great so far, thank you.  You asked if there was a better way to handle the download anchor click.  I'd like to suggest the following:

const element = document.createElement(""a"");
element.setAttribute(
    ""href"",
     ""data:text/plain;charset=utf-8,"" +
         encodeURIComponent(JSON.stringify(data))
);

const fileName = data.session + "".json"";
element.setAttribute(""download"", fileName);
element.click();

There shouldn't be any need to actually inject the anchor into the document.  You can simply create the element and invoke the click directly in memory.  Hope this helps :)"
@amouratoglou,"awesome loved it was no library, great way to get a grasp of how things are made under the hood.
great tutorial doc! make more!!!!! always the best free code camp, I learned coding better with you guys."
@JuniorMarques79,"Very nice, thanks."
@ahmed.bhewary775,"excellent, hope to see videos like this one in c++ or python ( without libraries )."
@_batman_Fan_,Saved in my playlist.
@toyin5522,"Imagine having this guy as your professor
So good 👍 👏"
@yasirmehmood4295,"loved the earlier part of the video but it got kinda hard for me since I'm not that proficient in JS, will definitely revert back later.  Thanks  Dr. Radu"
@papatangovictor,Machine learning is not a metaphysical abstraction that will allow machines to dominate humanity. Which is already dominated by the interests of large corporations that have governments in their pockets. Technically it's just fine-tuned probability based on sophisticated code and a lot of processing power. And this guy is a root programmer with excellent teaching skills. The best and most demystifying introduction to the topic I've seen in 5235 YT videos...
@atharvkulkarni534,"As always, just on time"
@meso9497,"Hi, to fix the issue with moving screen on apple devices touch screens, in the css stylesheet, body selector, set the touch-action to none and you good to go."
@Saveself99,"This, Monte Carlo, Linear Algebra, GeoSpatial, Trees and Classifiers and you have a good background of ML and Stats"
@Radu,"Hope you have fun with this course! If you have questions, comments, or suggestions, please reach out in the comments section or on my Discord server. 
Happy Coding :-)"
@kushagrakumar9576,"Hi, is there a similar course in python?"
@JohnDoe_69_420,"Ooooooo Radu's going mainstream now, this is so cool! Hopefully he's going to gain some subscribers from this, which is super great, Radu deserves the recognition for the amount of valuable education he provides!

Gonna code, debug, and have fuuuuun,
Coding with Radu... Coding with Radu"
@johnsonisreal4530,Why this is interesting and enjoy the course alot.
@LucasDimoveo,Why is this in JS?
@oyeSAURABH,"I am planning to learn ML AI and all, which language will be better for long term? PY or JS ?"
@mohammedabujayyab6146,perfect 🎉    thanks a lot!!
@mannycalavera121,RIIR
@mikelexx2542,Man i have always prayed for courses like these thanks man
@trojan606,Masterpiece
@trojan606,Without libraries? wow
@joyalmeida6565,A course of federated learning with a project please!!
@cosmoscience005,"Wow, this course is really awesome 👌 Incredibly insane 🙌 Machine Learning is not constricted to particular language its math which can work with logic.  Real life use case where we  can create our own data. This course is what it is. Kudos 🤘👍 to the content creator 👏"
@jagadeeshgade6309,Thank you
@Mike-jq7os,Why don't you use Emmet Abreviation ? 🧐
@feitan8745,sometimes people just want to go vanilla all the way. amazing content.
@Ou8y2k2,"Does this course have any prerequisites? Do you need to know JS, or can you be a beginner programmer? What about maths requirements?"
@stephanedibo8167,"This Guy is a genius and really good teacher, be blessed"
@pokemonunitechamp,"Yup I always used to wonder why do we learn from existing datasets, when we have to built a dataset from scratch for real-time applications"
@pavelpavlov954,Amazing!!!!
@aitorplaza2560,This guy is one of the best teachers on YouTube and he is totally underrated.
@itamarperez,Top content thank you❤
@zubiarfan,"Great content, thank you!"
@AnkitKumar-fw3cz,Got introduced to REST API!
@Alex-bc3xe,Great job Radu (felicitari sunt mandru de tine)
@codingjugaad8777,Best part the course is not using a Library. So by learning implementation steps one can write in any language. Dr. Radu is just awesome
@amuro432,Can we have a python version 😢
@mo-em6bb,we need this course in python
@ivgadev,This man is the most underrated in this community. The content he made is just insane.
@khalidelgazzar,Watched the first 30 minutes & really looks great
@hue_sane,👍
@navins2246,"""Welcome to this no blackbox machine learning course...."" 
Me: Very interesting
""...in javascript""
Me: imma outta here"
@abdullahmertozdemir9437,Do I need JavaScript knowledge to follow this course?
@_Anna_Nass_,4 min ago! Yeah! I’m early 🎉
@ahmedsaleh2363,🍞👍
@user-ti1rs8gz6j,great Course I just finish and it was amazing
@RichReflectionz,"I’m still a newbie in programming, but I thought that Python was best for ML, this is awesome that JS can be used as well"
@dhrambiragarwal3520,Helpful❤
@vismax,48 second ago
@abhinavrawat7999,First
@billionairesayss,Always delivery fire ❤️
@shaahkars,Yes 1
